Автор,Название статьи,Название сборника/журнала,Выпуск / номер,Где издано,Год издания,Страницы,Номер отчета,Название памятника
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","17","Р1 №2394","Сюкеевское"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","14","Р1 №2394","Елховское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","43-44",,"Елховское"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","15","Р1 №2394","Долгополянское I"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","18-19","Р1 №2394","Тетюшское I с"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","19","Р1 №2394","Тетюшское II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","104",,"Балымерское городище Шолом"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Балымерское I с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Балымерское II (Турецкая крепость)"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Балымерское II с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Балымерское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Балымерское V"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Балымерское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Урнякское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","104",,"Урнякское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","104-105",,"Балымерское V"
"Ефимова А.М.","Городецкое селище и болгарское гродище у с. Балымеры Татарской АССР.","МИА","№111","Москва","1962",,,"Балымерское V"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"Самара","1993","42-45",,"Новинки I"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"=отчет=","1993","45-47",,"Новинки II"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"=отчет=","1993","49-50",,"Новинки III а"
"Сташенков Д.А.","Отчет о раскопках селища и курганного могильника у с. Новинки Волжского района Самарской области по открытому листу № 568 (форма №4) и разведках в Челновершинском и Шенталинском районах Самарской области по открытому листу №712 (форма №2) в 1992г.",,,"Самара","1993",,,"Новинки V"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","9","Р1 №2394","Базяковское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","9","Р1 №2394","Базяковское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","10","Р1 №2394","Бураковское II"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Кожаевское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","12-13","Р1 №2394","Вожинское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Пичкасское I"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Пичкасское II"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Пичкасское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","14","Р1 №2394","Измерское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","Р1 №2394","Р1 №2394","Измерское с"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Кураловское"
"Морозова С.В.","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","Архив ИА",,"Казань","1962",,"Р1 №2394","Полянское II"
"Морозова С.В.","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","Архив ИА",,"Казань","1962",,"Р1 №2394","Ржавецкое I"
"Морозова С.В.","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","Архив ИА",,"Казань","1962",,"Р1 №2394","Щербетьское III"
"Морозова С.В.","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","Архив ИА",,"Казань","1962",,"Р1 №2394","Ржавецкое"
"Морозова С.В.","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","Архив ИА",,"Казань","1962",,"Р1 №2394","Арчиловское I"
"Морозова С.В.","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","Архив ИА",,"Казань","1962",,"Р1 №2394","Щербетьское II"
"Морозова С.В.","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","Архив ИА",,"Казань","1962",,"Р1 №2394","Ржавецкое IV"
"Ишмуратова Г.Р.","Отчет VI разведочного отряда Татарской археологической экспедиции на 1961 год",,,"Казань","1962",,"Р1 №2394","Лаишевское II"
"Ишмуратова Г.Р.","Отчет VI разведочного отряда Татарской археологической экспедиции на 1961 год",,,"Казань","1962",,"Р1 №2394","Чирпынское"
"Ишмуратова Г.Р.","Отчет VI разведочного отряда Татарской археологической экспедиции на 1961 год",,,"Казань","1962",,"Р1 №2394","Именьковское II (Коллар-Каласы)"
"Ишмуратова Г.Р.","Отчет VI разведочного отряда Татарской археологической экспедиции на 1961 год",,,"Казань","1962",,"Р1 №2394","Шуранское"
"Ишмуратова Г.Р.","Отчет VI разведочного отряда Татарской археологической экспедиции на 1961 год",,,"Казань","1962",,"Р1 №2394","Кирюшкин городок"
"Беговатов Е.А.","Отчет по разведочным работам по берегам Куйбышевского водохранилища в пределах ТАССР и Ульяновской области за 1984 г.",,,"Казань","1984",,,"Девичий Городок"
"Беговатов Е.А.","Отчет по разведочным работам по берегам Куйбышевского водохранилища в пределах ТАССР и Ульяновской области за 1984 г.",,,"Казань","1984",,,"Семеновское II"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Юматихинское I"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","114",,"Гулюшево I"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","252",,"Гулюшево I"
"Буров Г.М.","Исследования в Ульяновском Поволжье.","АО 1970г.",,"Москва","1971","166",,"Болтаевское"
"Буров Г.М.","Археологические исследования 1970-1971 гг. в Ульяновском Поволжье.","Курганы бронзового века близ Ульяновска",,"Ульяновск","1974","5",,"Болтаевское"
"Буров Г.М.","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","Архивы ИА",,"Ульяновск","1971","31-34","Р1 №4287","Болтаевское"
"Степанов П.Д.","Памятники угорско-мадьярских (венгерских) племен в Среднем Поволжье.","АЭБ","II","Уфа","1964",,,"Гулюшево I"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","115",,"Кирзять"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","252",,"Кирзять"
"Буров Г.М.","Исследования в Ульяновском Поволжье.","АО 1970г.",,"Москва","1971","166",,"Сурское"
"Буров Г.М.","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","Архивы ИА",,"=отчет=","1971",,"Р1 №4287а","Сурское"
"Буров Г.М.","Археологические исследования 1970-1971 гг. в Ульяновском Поволжье.","Курганы бронзового века близ Ульяновска",,"Ульяновск","1974","5",,"Сурское"
"Зеленев Ю.А., Артемова В.Д.","Разведки в бассейнах Алатыря и средней Суры.","АО 1973г.",,"Москва","1974","152-152",,"Сурское"
"Поливанов П.Н.","Археологическая карта Симбирской губернии.",,,"Симбирск","1900","51",,"Ашна-Пандовское"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","22-25",,"Ашна-Пандовское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","84-85",,"Кирельское II с"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"Самара","1993","53-55",,"Новинки V"
"Сташенков Д.А.","Археологические исследования у с. Новинки в 1992 г.","Краеведческие записки.","Вып. VII","Самара","1995","268-284",,"Новинки V"
"	Сташенков Д.А.","Отчёт о раскопках раннесредневековых памятников в Волжском районе Самарской области в 1994 г.","Архив отдела археологии СОИКМ им. П.В. Алабина.",,"Самара","1994",,,"Новинки V"
,,,,,,,,"Новинки V"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"=отчет=","1993","58-60",,"Новинки IX"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"=отчет=","1993","60-61",,"Новинки Х"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"=отчет=","1993","62-64",,"Новинки XIII"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"Самара","1993",,,"Ош-Пандо-Нерь"
"	Скарбовенко В.А.","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","Архив Археологической лаборатории СамГУ",,"Самара","1993","24-29",,"Ош-Пандо-Нерь I/II"
"Матвеева Г.М., Ключникова Р.М.","Селище Ош-Пандо-Нерь.","Древности Среднего Поволжья.",,"Куйбышев","1985","131-155",,"Ош-Пандо-Нерь I/II"
"Лифанов Н.А.","Исследование селища Ош-Пандо-Нерь и Шелехметского II могильника в 2001-2002 гг.","Краеведческие записки.","Вып. XII","Самара","2005","67-74",,"Ош-Пандо-Нерь I/II"
"Дубман Э.Л.","Отчет об археологическом обследовании территории Государственного природного национального парка Самарская Лука (по открытому листу №551).",,,"Куйбышев","1988","13-15","Р1 №12862","Ош-Пандо-Нерь I/II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Биктемировское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Биктемировское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Сихтерьминское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Тяжбердинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Тяжбердинское II"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Тяжбердинское I"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Тяжбердинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Русско-Кищакское III"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Козловское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Козловское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Козловское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Черки-Бибкеевское V с"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Красно-Каратаевское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Новосахчинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Старосахчинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Старосантемировское I"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","17-19",,"Болтаевское"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977",,,"Гулюшево I"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","21",,"Гулюшево III"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977",,,"Кирзять"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977",,,"Сурское"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977",,,"Баранчеево"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962",,,"Баранчеево"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977",,,"Беловодское с"
"Буров Г.М.","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","Архив ИА",,"Ульяновск","1971",,"Р1 №4287а","Беловодское с"
"Буров Г.М.","Археологические исследования 1970-1971 гг. в Ульяновском Поволжье.","Курганы бронзового века близ Ульяновска.",,"Ульяновск","1974","5",,"Беловодское с"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","30-31",,"Малая Кандарать I"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","126-129",,"Малая Кандарать I"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","256",,"Малая Кандарать I"
"Степанов П.Д.","Селище у с. М.Кандарать Ульяновской области.","АО 1970г.",,"Москва","1971",,,"Малая Кандарать I"
"Буров Г.М.","Археологические исследования 1970-1971 гг. в Ульяновском Поволжье.","Курганы бронзового века близ Ульяновска.",,"Ульяновск","1974","6",,"Малая Кандарать I"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","31",,"Малая Кандарать II"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","130-131",,"Малая Кандарать II"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","256",,"Малая Кандарать II"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","32",,"Усть-Урень"
"Буров Г.М.","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","Архив ИА",,"Ульяновск","1971","37","Р1 №4287а","Усть-Урень"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","33-34",,"Беловодское"
"Буров Г.М.","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","Архив ИА",,"Ульяновск","1971","30-31","Р1 №4287а","Беловодское"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","35",,"Малокандаратское I (Лопатина Вторая)"
"Поливанов П.Н.","Археологическая карта Симбирской губернии.",,,"Симбирск","1900","45, 47",,"Малокандаратское I (Лопатина Вторая)"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","72, 126",,"Малокандаратское I (Лопатина Вторая)"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","252",,"Ашна-Пандовское"
"Буров Г.М.","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","Архив ИА",,"Ульяновск","1971",,"Р1 №4287","Ашна-Пандовское"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","256",,"Малокандаратское I (Лопатина Вторая)"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","35-36",,"Малокандаратское II (Городкова Поляна)"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","72, 130",,"Малокандаратское II (Городкова Поляна)"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","256",,"Малокандаратское II (Городкова Поляна)"
"Буров Г.М.","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","Архив ИА",,"=отчет=","1971",,"Р1 №4287а","Стрельниково"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","44",,"Стрельниково"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","72-73",,"Большие Ключищи II"
"Буров Г.М.","Результаты разведок и раскопок на верхней Свияге.

378
Результаты разведок и раскопок на верхней Свияге.","АО 1969г.",,"Москва","1970","151",,"Большие Ключищи II"
"Буров Г.М.","Отчет об археологических исследованиях 1969 г. В Ульяновском Поволжье.","Архив ИА",,"=отчет=","1970",,"Р1 №3929","Большие Ключищи II"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","78-85",,"Карлинское III"
"Буров Г.М.","Результаты разведок и раскопок на верхней Свияге.

378
Результаты разведок и раскопок на верхней Свияге.","АО 1969г.",,"Москва","1970","151-152",,"Карлинское III"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","15-16","Р1 №2394","Тетюшское II с"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Тетюшское II"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Тетюшское I с"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Тетюшское II с"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","20-21","Р1 №2394","Юматихинское I"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","20-21","Р1 №2394","Юматихинское II"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","20-21","Р1 №2394","Юматихинское III"
"Фахрутдинов Р.Г.","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","Архив ИА",,"Казань","1962","20-21","Р1 №2394","Юматихинское IV"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Юматихинское II"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Юматихинское III"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Юматихинское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Среднетолкишкинское I"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","83-84","Р1 №4135","Ивановское поселение"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Елховское с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","88",,"Долгополянское I"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","89",,"Тетюшское I с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","89-90",,"Тетюшское I"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","203",,"Тетюшское I"
"Шпилевский С.М.","Древние города и другие булгаро-татарские памятники Казанской губернии.",,,"Казань","1877","520-521",,"Тетюшское I"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58; 59, рис. 20, 18-19",,"Тетюшское II"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","241",,"Тетюшское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Тетюшское II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","90",,"Тетюшское II с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Тетюшское II с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","91",,"Юматихинское I"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","241",,"Юматихинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Юматихинское I"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","91",,"Юматихинское II"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Юматихинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Юматихинское II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","91",,"Юматихинское III"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","361",,"Сосновый Солонец II м"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","361",,"Сосновый Солонец IV м"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","362",,"Березовый Солонец II"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","360",,"Уркина Гора"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","360",,"Хутор Войков"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","358",,"Муромское II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","106",,"Муромское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","12",,"Нижнемарьянская стоянка XII"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Остолоповское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","48",,"Остолоповское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","13",,"Селище на Базяковском взвозе"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","15",,"Березовогривское"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","15",,"Березовогривское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","15-16",,"Березовогривский VI"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","105",,"Березовогривский VI"
"Беговатов Е.А.","Отчет по разведочным работам по берегам Куйбышевского водохранилища в пределах ТАССР за 1985 г.",,,"Казань","1986","4-5",,"Березовогривский VI"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","30",,"Селище ""Городок"""
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","35",,"Мокрокурналинское I м"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","35",,"Мокрокурналинское I  с"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","35",,"Мокрокурналинское III с"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","36",,"Мокрокурналинское III м"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","40",,"Старофедоровское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","41",,"Алексеевское X"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","41",,"Алексеевское XI"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Косяковское II"
"Буров Г.М.","Археологические памятники Ульяновска и его окрестностей.","КЗ","вып. III","Ульяновск","1971","270, 287",,"Карлинское III"
"Буров Г.М.","Отчет об археологических исследованиях 1972 г. В Ульяновском Поаолжье.","Архив ИА",,"Ульяновск","1973","12","Р1 №4839","Карлинское III"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","85-86",,"Карлинское IV"
"Буров Г.М.","Результаты разведок и раскопок на верхней Свияге.

378
Результаты разведок и раскопок на верхней Свияге.","АО 1969г.",,"Москва","1970","151",,"Карлинское IV"
"Буров Г.М.","Археологические памятники Ульяновска и его окрестностей.","КЗ","вып. III","Ульяновск","1971","269, 270, 278-287",,"Карлинское IV"
"Буров Г.М.","Отчет об археологических исследованиях 1972 г. В Ульяновском Поаолжье.","Архив ИА",,"=отчет=","1973","17","Р1 №4839","Карлинское IV"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","86",,"Карлинское V"
"Буров Г.М.","Отчет об археологических исследованиях 1969 г. В Ульяновском Поволжье.","Архив ИА",,"=отчет=","1970","14","Р1 №3929","Карлинское V"
"Буров Г.М.","Отчет об археологических исследованиях 1969 г. В Ульяновском Поволжье.","Архив ИА",,"=отчет=","1970","10-13","Р1 №3929","Карлинское IV"
"Буров Г.М.","Отчет об археологических исследованиях 1969 г. В Ульяновском Поволжье.","Архив ИА",,"Ульяновск","1970","9-10","Р1 №3929","Карлинское III"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","90-91",,"Кувшиновка I"
"Буров Г.М.","Исследования в Ульяновском Поволжье. (1)","АО 1973г.",,"Москва","1974","135",,"Кувшиновка I"
"Буров Г.М.","Отчет об археологических исследованиях 1973 г. В Ульяновском Поаолжье.","Архив ИА",,"=отчет=","1974","44","Р1 №6008","Кувшиновка I"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","122",,"Ульяновск I"
"Буров Г.М.","Археологические памятники Ульяновска и его окрестностей.","КЗ","вып. III","Ульяновск","1971","287, 300-303",,"Ульяновск I"
"Буров Г.М.","Археологическая карта Ульяновской области.",,,"Симферополь","1977","123",,"Ульяновск II"
"Буров Г.М.","Археологические памятники Ульяновска и его окрестностей.","КЗ","вып. III","Ульяновск","1971","287",,"Ульяновск II"
"Буров Г.М.","Отчет об археологических исследованиях 1969 г. В Ульяновском Поволжье.","Архив ИА",,"=отчет=","1970","28","Р1 №3929","Ульяновск I"
