Название,Описание,Эпоха,Culture,Вторая культура,Type,Y,X,id
Каргоринский клад монет,"Караульная гора, село Октябрьского района, левый берег р. Б. Черемшан. В 1957 г. в огороде О. С. Бикенеевой обнаружен на глубине 20 см клад серебряных монет в количестве 2859 экз. Монеты казанской (булгарской), позднеордынской и русской чеканки, датированные в основном второй четвертью XV в.",2,18,,8,50.675086,54.534656,173
Каргоринское местонахождение II,"Караульная Гора, село. В 1,5 км к востоку-юго-востоку от села на широком мысу ТАЭ в 1965 г. обнаружено несколько фрагментов гончарной керамики.",2,15,,3,50.719589,54.528106,174
Кзыл-Уракчинское селище,"Кзыл Уракчы, деревня Алек-сеевского района, левый берег р. М. Черемшан. В 1 км к югу от деревни ТАЭ в 1964 г. выявлено селище площадью 25 000 км и культурным слоем в 30—35 см.",2,11,,2,50.23525,54.916856,175
Кичкальнинское местонахождение I,"Кичкальня, деревня. В 0,6 км к северу от деревни ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.361869,54.749219,176
Кичкальнинское местонахождение II,"Кичкальня, деревня. В 1,2 км к юго-западу от деревни ТАЭ в 1964 г. найдено несколько фрагментов булгарской керамики.",2,11,,3,50.332236,54.725783,177
Кичкальнинское местонахождение III,"Кичкальня, деревня. В 0,2 км к северу от селища VI ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.361806,54.745472,178
Кичкальнинское селище I,"Кичкальня, деревня. В 1,5 км к северо-северо-востоку от деревни ТАЭ в 1964 г. зафиксировано селище площадью 60000 кв. м.",2,15,,2,50.367828,54.730072,179
Кичкальнинское селище II,"Кичкальня, деревня. В 0,9—1 км к востоку-юго-востоку от деревни ТАЭ в 1964 г. выявлено селище площадью 120 000 кв. м и слоем в 25—30 см.",2,11,,2,50.373172,54.729508,180
Кичкальнинское селище III,"Кичкальня, деревня. В 1,2—1,3 км к юго-востоку от деревни ТАЭ в 1964 г. выявила селище, занимающее площадь до 30 000 кв. м.",2,11,,2,50.366464,54.730214,181
Кичкальнинское селище IV,"Кичкальня, деревня. В 0,9 км к западу-юго-западу от деревни ТАЭ в 1964 г. выявлено селище площадью 20000 кв. м.",2,11,,2,50.332475,54.731628,182
Кичкальнинское селище V,"Кичкальня, деревня. В 0,4 км к северу от деревни ТАЭ в 1964 г. зафиксировано селище площадью 27 500 кв. м. Среди керамики есть обломки горшечной салтовской керамики.",2,14,11,2,50.36235,54.749086,183
Кичкальнинское селище VI,"Кичкальня, деревня. В 0,5 км к северо-северо-востоку от деревни ТАЭ в 1964 г. зафиксировано селище площадью 27 750 кв. м.",2,11,,2,50.369308,54.745811,184
Краснобаранский клад монет,"Красный (Крещёный) Баран, село. Найден в 1905 г. в пределах ручья Челны.",2,14,,8,50.19475,55.021147,185
Краснобаранское селище,"Красный (Крещеный) Баран, село Алексеевского района, правый берег речки Баранка. В 2 км к северо-востоку от села ТАЭ в 1962 г. выявлено селище, занимающее площадь 2 790 кв. м. Среди керамики есть салтовская горшечная.",2,11,,2,50.241569,55.026894,186
Краснокустарское местонахождение,"Красный Кустарь, деревня. В 0,2 км к юго-западу от деревни ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.363869,54.888422,187
Краснокустарское селище I,"Красный Кустарь (Дон-гуз), деревня Алексеевского района, левый берег речки Донгуз, правого притока реки Мараса. В 0,3 км к юго-западу от деревни ТАЭ в 1964 г. обнаружено селище площадью 20000 кв. м.",2,11,,2,50.357703,54.891211,188
Краснокустарское селище II,"Красный Кустарь, деревня. В 0,3 км к югу от селища I ТАЭ в 1964 г. обнаружено селище площадью 4 500 KB. М.",2,11,,2,50.36105,54.891064,189
Крещелтанская селище I,"Крещеный Елтан, село. В 0,6 км к северо-востоку от села экспедиция ГМТР в 1962 г. обнаружила селище площадью 3600 кв. м.",2,11,,2,50.664967,55.087022,190
Крещелтанская селище II,"Крещеный Елтан, село. К северо-западу от городища на берегу реки экспедиция ГМТР в 1962 году обнаружила селище площадью 4800 кв. м.",2,11,,2,50.672264,55.0884,191
Крещелтанская селище III,"Крещеный Елтан, село. В 3 км к северо-северо-востоку от села экспедиция ГМТР в 1962 г. обнаружила селище площадью 8400 кв. м.",2,11,,2,50.679922,55.106389,192
Крещелтанская селище IV,"Крещеный Елтан, село. В 2 км к юго-западу от села экспедиция ГМТР в 1962 г. выявила селище площадью 4800 кв. м.",2,11,,2,50.640408,55.065344,193
Крещелтанский клад вещей и монет,"Крещеный Елтан, село. В 1900 г. близ городища найден клад монет и вещей XIV—XV вв.",2,18,,8,50.659492,55.080711,194
Крещелтанское городище,"Крещеный Елтан, село Чистопольского района, правый берег р. М. Черемшан. В 1 км к северо-северо-востоку от села экспедиция ГМТР в 1962 г. выявила городище площадью 7500 кв. м.",2,11,,1,50.674733,55.0873,195
Кривоозёрское селище,"Кривое Озеро, село Октябрьского района, левый берег р. Б. Черемшан. На северном берегу озера «Кривое» напротив села ТАЭ в 1965 г. выявлено поселение площадью 150000 (350Х300) кв. м со слоем в 32 см. Имеется и срубная керамика.",2,11,,2,50.5372,54.530292,196
Кульбаево-Марасинское местонахождение I,"Кульбаево-Мараса, село Октябрьского района, левый берег р. Мараса. В 2 км к северо-северо-западу от села ТАЭ в 1964 г. собраны фрагменты булгарской керамики.",2,15,,3,50.287833,54.863492,197
Кульбаево-Марасинское селище I,Кульбаево-Мараса. село. В 1.2—1.3 км к северо-востоку от села ТАЭ в 1964 г. выявлено селище площадью 30000 кв. м.,2,11,,2,50.310231,54.856758,198
Кульбаево-Марасинское селище II,"Кульбаево-Мараса, село. В 0,5 км к востоку от селища I ТАЭ в 1964 г. обнаружено селище площадью 30 000 кв. м.",2,11,,2,50.309889,54.865356,199
Кульбаево-Марасинское селище III,"Кульбаево-Мараса, село. В 0,2 км к северу от селища I ТАЭ в 1964 г. обнаружено селище площадью 9 000 кв. м.",2,11,,2,50.311433,54.860711,200
Кульбаево-Марасинское селище IV,"Кульбаево-Мараса, село. В 2,2 км к северо-востоку от села ТАЭ в 1964 г. выявлено селище площадью 60 000 кв. м. Обнаружена керамика с растительной примесью, типа салтовской.",2,14,11,2,50.307828,54.869406,201
Кульбаево-Марасинское селище IX,"Сельцо Кульбаево-Мараса, деревня. В 0,4 км к северо-востоку от селища VIII ТАЭ в 1964 г. обнаружено селище площадью 7 500 кв. м. Среди керамики есть ранняя, типа салтовской горшечной.",2,11,,2,50.336411,54.830567,202
Кульбаево-Марасинское селище V,"Кульбаево-Мараса, село, правый берег р. Мараса. В западном конце села ТАЭ в 1964 г. обнаружено селище площадью 120 000 кв. м.",2,11,,2,50.289289,54.842428,203
Кульбаево-Марасинское селище VI,"Сельцо Кульбаево-Мараса, деревня. В 2,5 км к юго-востоку от деревни ТАЭ в 1964 г. выявило селище площадью в 120000 кв. м.",2,11,,2,50.323708,54.815139,204
Кульбаево-Марасинское селище VII,"Сельцо Кульбаево-Ма раса, деревня. Напротив Кульбаево-Марасинского селища VI через овраг ТАЭ в 1964 г. обнаружено небольшое селище (150Х60 м) со слоем в 15 см.",2,15,,2,50.327483,54.811578,205
Кульбаево-Марасинское селище VIII,"Сельцо Кульбаево-Мараса, деревня. В 2 км к югу от деревни ТАЭ в 1964 г. выявлено селище площадью в 15 000 кв. м.",2,11,,2,50.337097,54.824831,206
Кульбаево-Марасинское селище X,"Сельцо Кульбаево-Мараса, деревня В 1,5 км к югу от деревни ТАЭ в 1964 г. выявлено селище площадью 25000 кв. м. Среди керамики есть ранняя — типа горшечной салтовской.",2,14,11,2,50.300447,54.810539,207
Кульбаево-Марасинское селище XI,"Сельцо Кульбаево-Мараса, деревня. В 0,6 км к югу от деревни ТАЭ в 1964 г. выявила селище площадью 50000 кв. м.",2,11,,2,50.288603,54.822544,208
Кульбаево-Марасинское селище XII,"Сельцо Кульбаево-Мараса, деревня Октябрьского района, левый берег р. Мараса. У западной окраины деревни ТАЭ в 1964 г. выявлено селище площадью в 120 000 кв. м.",2,15,,2,50.287658,54.835497,209
Курнали-Амзинское местонахождение II,"Курнали-Амзя, деревня. В 2,5 км к северо-востоку от деревни ТАЭ в 1964 г. найдена булгарская керамика.",2,11,,3,50.406475,54.881478,210
Курнали-Амзинское местонахождение III,"Курнали-Амзя, деревня. В 0,4—0,5 км к востоку от селища I ТАЭ в 1964 г. нашла булгарскую керамику.",2,15,,3,50.394381,54.873761,211
Курнали-Амзинское селище I,"Курнали-Амзя, деревня. В 0,8 км к северо-северо-востоку от деревни ТАЭ в 1964 г. выявила селище площадью 60000 кв. м и слоем в 35 см. Обнаружена керамика типа салтовской горшечной, с растительной примесью.",2,11,,2,50.387236,54.873672,212
Курнали-Амзинское селище II,"Курнали-Амзя, деревня. В 3 км к северо-северо-востоку от деревни в верховьях оврага «Курналийский» ТАЭ в 1964 г. выявила селище (300Х200 м) со слоем в 35 см, где наряду с преобладающей булгарской керамикой обнаружена и срубная.",2,11,,2,50.410239,54.885081,213
Курнали-Амзинское селище III,"Курнали-Амзя, деревня. В 0,3 км к востоку от деревни ТАЭ в 1964 г. выявлено селище площадью 30 000 кв. м и слоем в 30 см.",2,11,,2,50.388525,54.862264,214
Курнали-Амзинское селище IV,"Курнали-Амзя, деревня. В 0,4 км к югу от деревни ТАЭ в 1964 г. выявила селище площадью до 150 000 кв. м и слоем в 35 см.",2,11,,2,50.372903,54.855544,215
Курнали-Амзинское селище V,"Курнали-Амзя, деревня. В 1,5 км к югу от деревни ТАЭ в 1964 г. обнаружено селище площадью 60 000 кв. метров и слоем в 40 см.",2,11,,2,50.374619,54.849617,216
Малоакташское местонахождение,"Малый Акташ, деревня Аксубаевского района, левый берег речки Саврушка. В 0,3 км к северо-востоку от деревни ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.754753,54.959953,217
Мамыковские находки,"Мамыково, село Октябрьского района, правый берег р. Большая Сульча. Из села и её окрестностей происходят различные железные и бронзовые вещи булгарского времени: медный сосуд, боевой топор, шпора, цепь, мотыги. Доставлены в Казань в 1880 г. П. А. Пономарёвым.",2,15,,3,50.604356,54.640797,218
"Мамыковское городище ""Шихан""","Мамыково, село. В каталоге КГУ под №№ 822—928 отмечены таблицы вещей, добытых «при раскопках П. А. Пономарёва на городище при Шихане, на даче села Мамыково»— в основном керамика, кости животных и образцы земли.",2,15,,1,50.612875,54.65095,219
Мамыковское кладбище,"Мамыково. село. В каталоге КГУ под № 840 отмечены: «череп и другие важнейшие кости, выделенные из могил древнего кладбища близ городища с. Мамыково».",2,15,,4,50.605922,54.642308,220
Марасинское местонахождение III,"Мараса, село. В 0,3 км к югу от селища II ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.273511,54.861075,221
Марасинское местонахождение IV,"Мараса, село, правый берег р. Мараса. В 2,8—2,9 км к востоку-юго-востоку от села ТАЭ в 1964 г. найдено несколько фрагментов булгарской керамики.",2,18,,3,50.269278,54.857011,222
Марасинское селище I,"Мараса, село. В 1 км к востоку от села ТАЭ в 1964 г. выявлено обширное селище (900Х275 м) с культурным слоем в 30—35 м.",2,15,,2,50.245819,54.880192,223
Марасинское селище II,"Мараса, село. В 2,5 км к востоку-юго-востоку от села ТАЭ в 1964 г. обнаружено обширное селище (150Х350 м). Среди керамики есть салтовская горшечная, обломки лепных крышек.",2,14,11,2,50.257736,54.869603,224
Марасинское селище III,"Мараса, село Алексеевского района, левый берег речки Донгуз. В 4 км к востоку-юго-востоку от села ТАЭ в 1964 г. обнаружено селище площадью 135 000 кв. м.",2,11,,2,50.283586,54.867719,225
Марасинское селище IV,"Мараса, село Алексеевского района, левый берег р. Мараса, левого притока р. М. Черемшан. В 0,6 км к юго-востоку от села ТАЭ в 1964 г. выявлено селище площадью 12500 кв. м.",2,15,,2,50.243758,54.876678,226
Моляшинское селище,"Моляши, деревня Алькеевского района, правый берег ручья Моляша, правого притока р. М. Черемшан. К юго-западу от деревни ТАЭ в 1965 г. на широком мысу (500Х Х160м) выявлено селище площадью 80000 кв. м.",2,11,,2,50.090281,54.869608,227
Мордбаганинские находки,"Мордовская Багана, деревня Чистопольского района, верховья речки Barauas правого притока р. М. Черемшан. В каталоге археологических коллекций Казанского университета из деревни происходят медная подвеска и часть железного замка булгарского типа.",2,15,,3,50.49215,55.136633,228
Муллинские находки II,"Старое Муллино, деревня. В коллекции В. И. Заусайлова, хранящейся в НМФ, имеются вещи булгарского типа, в том числе: костяные предметы с циркульными орнаментациями, глиняная водопроводная труба типа билярской. В коллекцию включена также часть человеческого черепа, возможно, происходящая из могильника.",2,15,,3,50.173272,54.932075,229
"Мюд, местонахождение","Мюд, посёлок. В 0,25 км к северо-западу от центральной усадьбы ТАЭ в 1963 г. отмечено скопление гончарной керамики.",2,15,,3,50.769422,54.717819,230
"Мюд, селище II","Мюд, посёлок. В 0,35—0,75 км к северо-западу от центральной усадьбы ТАЭ в 1963 г. зафиксировано селище площадью до 70000 кв. м, на поверхности которого собрана именьковская и булгарская керамика.",2,15,,2,50.780281,54.713683,231
Наримановское местонахождение I,"Нариманово, деревня. В 1,6 км к северо-северо-востоку от деревни ТАЭ в 1964 г. найдены фрагменты булгарской керамики.",2,11,,3,50.27745,54.797208,232
Наримановское поселение IV,"Нариманово, деревня. В 0,3 км к западу от Наримановского местонахождения 1 на краю надлуговой террасы ТАЭ в 1964 г. на площади 100Х200 м собрана лепная керамика с примесью шамота в тесте и грубой штриховой зачисткой и зубчатой орнаментацией срубного типа. Здесь же найдены фрагменты булгарской красного цвета гончарной керамики и обломок сфероконуса.",2,11,,2,50.260742,54.787675,233
Нижнеалькеевcкое селище I,"Нижнее Алькеево, село. В 1,1—1,3 км к западу от села ТАЭ в 1965 г. выявлено селище на площади 90000 (450Х200 м) кв. м.",2,11,,2,50.010167,54.783528,234
Нижнеалькеевское местонахождение I,"Нижнее Алькеево, село, левый берег речки Атасу, правого притока реки Малый Черемшан. В 0,5 км к северо-востоку от села ТАЭ в 1965 г. найдена срубная и булгарская керамика.",2,15,,3,50.042964,54.794689,235
Нижнеалькеевское местонахождение III,"Нижнее Алькеево, село. В 1,5 км к востоку от села ТАЭ в 1965 г. обнаружена булгарская керамика.",2,15,,3,50.067919,54.785092,236
Нижнеальмурзинское местонахождение,"Нижнее Альмурзино, село. В 0,3 км к северо-западу от села ТАЭ в 1965 г. собрана булгарская керамика.",2,18,,3,49.975592,54.61705,237
Нижнекачеевская находка,"Нижнее Качеево, село. Из села происходит часть железного лемеха.",2,15,,3,49.985586,54.674131,238
Нижнекачеевское (Шибашское) городище,"Нижнее Качеево, село. Городище известно с XVIII столетия под названием Шибашского. Подробно описано Н. Рычковым. Об этом городище писали А. Артемьев, К. И. Невоструев и С. М. Шпилевский. Памятник расположен в 1,5 км к западу-северо-западу от села, на низкой надлуговой террасе в урочище «Кала тау». Круглая площадка (25,5 тыс. кв. м) ограждена с востока руслом реки, а с остальных сторон — тремя валами и двумя рвами. Общая ширина оборонительных линий около 50 м. Поверхность городища издавна распахивается. На поверхности при Н. Рычкове были заметны фундаменты кирпичных и каменных зданий.",2,11,,1,49.947578,54.671883,239
Нижнекачеевское местонахождение I,"Нижнее Качеево село. В 1,7 км к западу-юго-западу от села на правом берегу речки ТАЭ в 1965 г. найдена булгарская керамика.",2,11,,3,49.943158,54.666547,240
Нижнекачеевское местонахождение II,"Нижнее Качеево, село, левый берег речки Шня, правого притока реки Малый Черемшан. В 0,2 км/к северо-западу от села ТАЭ в 1965 г. обнаружена булгарская керамика.",2,11,,3,49.965158,54.675444,241
Нижнекачеевское селище I,"Нижнее Качеево, село. Напротив городища через речку ТАЭ в 1965 г. выявлено селище площадью 30 000 кв. м. Оно, очевидно, также еще было отмечено Н. Рычковым в 1769 г.",2,11,,2,49.949144,54.669386,242
Нижнекачеевское селище II,"Нижнее Качеево, село. На напольной стороне городища еще Н. Рычков отмечал наличие предместья также с остатками кирпичных зданий, которые тянулись на 240 м (120 саж.) до речки Качей. ТАЭ в 1965 г. здесь выявлено селище площадью 40 000 кв. м.",2,11,,2,49.946828,54.671667,243
Нижнекачеевское селище III,"Нижнее Качеево, село. На западной окраине села ТАЭ в 1965 г. выявлено селище площадью 80 000 кв. м.",2,11,,2,50.020392,54.672975,244
Нижнекачеевское селище IV,"Нижнее Качеево, село. Напротив селища V через ручей ТАЭ в 1965 г. выявлено селище площадью 150 000 кв. м.",2,11,,2,50.014033,54.679956,245
Нижнекачеевское селище V,"НижнееКачеево, село. В 1,3—1,4 км к загТаду-севе-ро-западу от села ТАЭ в 1965 г. выявлено селище площадью 100000 кв. м. и слоем в 25—30 см.",2,11,,2,50.016722,54.679358,246
Нижнекачеевское селище VI,"Нижнее Качеево, село. В 0,5 км к северо-западу от села ТАЭ в 1965 г. выявлено селище площадью 40 000 кв. м.",2,11,,2,49.976783,54.679708,247
Нижнекачеевское селище VII,"Нижнее Качеево, село Алькеевского района, правый берег реки Малый Черемшан. В 2 км к востоку-северо-востоку от села ТАЭ в 1965 г выявлено селище площадью 60000 кв. м.",2,11,,2,50.029653,54.685464,248
Нижнекольчуринское местонахождение I,"Нижнее Кольчурино, деревня. В 0,3 км к западу-юго-западу от деревни ТАЭ в 1965 г. найдена булгарская керамика.",2,18,,3,49.799878,54.756956,249
Нижнекольчуринское местонахождение II,"Нижнее Кольчурино, деревня Алькеевского района, левый берег речки Ата-су, правого притока реки Малый Черемшан, В 0,8 км к северо-востоку от деревни ТАЭ в 1965 г. найдена булгарская керамика и шлак.",2,15,,3,49.826042,54.76975,250
Нижнекондратинское селище I,"Нижняя Кондрата, село Алексеевского района, левый берег р. М. Черемшан. В 1,2 км — 1,3 км к юго-востоку от села и в 0,8 км к востоку-юго-востоку от бывшей деревни Булгар ТАЭ в 1964 г. обнаружено селище площадью в 25 000 кв. м.",2,15,,2,50.583978,55.050033,251
Нижнекондратинское селище II,"Нижняя Кондрата, село Алексеевского района, правый берег р. М. Черемшан. В 1 км к юго-востоку от села экспедиция ГМТР в 1962 г. обнаружила селище площадью в 1720 кв. м.",2,11,,2,50.580114,55.052003,252
Нижнекондратинское селище III,"Нижняя Кондрата, село, левый берег речки Багана, правого притока р. М. Черемшан. В 1,8 км к северо-востоку от села экспедиция ГМТР в 1962 г. обнаружила селище.",2,11,,2,50.596853,55.082,253
Нижнекондратинское селище IV,"Нижняя Кондрата, село. В 1 км к северо-востоку от села экспедиция ГМТР в 1962 г. выявила селище с гончарной и лепной керамикой, в том числе типа салтовской.",2,11,,2,50.59505,55.076289,254
Нижнекондратинское селище V,"Нижняя Кондрата, село. В 2,4 км к востоку-северо-востоку от седа экспедиция ГМТР в 1962 г. выявила селище с гончарной и лепной керамикой.",2,11,,2,50.620456,55.077619,255
Нижнекондратинское селище VI,"Нижняя Кондрата, село. К западу-юго-западу от села экспедиция ГМТР в 1962 г. на мысу надлуговой террасы обнаружила селище площадью 15 100 кв. м.",2,11,,2,50.558014,55.056167,256
Нижнекондратинское селище VII,"Нижняя Кондрата, село. В 0,5 км к северо-востоку от села экспедиция ГМТР в 1962 г. обнаружила селище.",2,11,,2,50.579175,55.054378,257
Нижнесаврушинское селище I,"Нижние Савруши, деревня. В 2 км к северо-западу от деревни ТАЭ в 1964 г. обнаружено селище слоем в 50 см. Среди керамики есть салтовская горшечная.",2,11,,2,50.644119,55.061592,258
Нижнесаврушинское селище II,"Нижние Савруши, деревня. В 0,4 км к северо-востоку от деревни ТАЭ в 1964 г. выявлено селище площадью 88000 кв. м и слоем в 35 см. Среди керамики есть салтовская горшечная.",2,11,,2,50.686514,55.047858,259
Нижнесаврушинское селище III,"Нижние Савруши, деревня Аксубаевского района, правый берег речки Саврушка. В 0,4 км к северо-востоку от деревни ТАЭ в 1964 г. обнаружено сели площадью 48 000 кв. м и слоем 40 см. Среди керамики имеется салтовская горшечная.",2,11,,2,50.688917,55.045647,260
Нижнесаврушинское селище IV,"Нижние Савруши, деревня Аксубаевского района, левый берег речки Саврушка, левого притока р. М. Черемшан. В 3,6 км к северо-западу от деревни ТАЭ в 1964 г. выявлено селище площадью 7500 кв. м и слоем в 20 см.",2,11,,2,50.646131,55.063567,261
Нижнетатмайнское местонахождение II,"Нижняя Татарская Майна деревня. В 0,8 км к востоку-северо-востоку от деревни у края неглубокого суходола ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.537333,55.043864,262
Нижнетатмайнское местонахождение III,"Нижняя Татарская Майна, село. В 2 км к юго-западу от села экспедиция ГМТР в 1962 г. обнаружила булгарскую керамику.",2,15,,3,50.486761,55.018517,263
Нижнетатмайнское местонахождение IV,"Нижняя Татарская Майна, деревня. К юго-востоку от деревни ТАЭ в 1964 г. найдена булгарская керамика, в т. ч. обломки лепных крышек.",2,11,,3,50.528325,55.031058,264
Нижнетатмайнское поселение,"Нижняя Татарская Майна, село. В 1 км к юго-западу от села экспедиция ГМТР в 1962 г. обнаружила селище с гончарной и лепной керамикой.",2,11,,2,50.504797,55.032417,265
Нижнетатмайнское селище I,"Нижняя Татарская Майна, деревня. В 1,5 км к востоку-северо-востоку от деревни на мысу надлуговой террасы ТАЭ в 1964 г. выявлено селище (80Х80 м) с культурным слоем в 15—20 см. Среди керамики есть горшечная — салтовского типа.",2,11,,2,50.533519,55.042719,266
Нижнетатмайнское селище II,"Нижняя Татарская Майна, деревня. В 0,6 км к юго-юго-западу от деревни ТАЭ в 1964 г. зафиксировано селище площадью 16000 кв. м. ",2,11,,2,50.51335,55.030967,267
Нижнетатмайнское селище III,"Нижняя Татарская Майна, деревня. В 1,4—1,5 км к западу-юго-западу от деревни по обоим берегам суходола ТАЭ в 1964 г. обнаружено селище площадью 300Х200 м.",2,11,,2,50.506569,55.028161,268
Николаев-Баранское городище I,"Николаевский Баран, село Алексеевского района, левый берег речки Баран, правого притока р. М. Черемшан. В 1,5 км к юго-юго-востоку от села, в 4,5 км к северо-западу от с. Билярск на ровном и относительно низком месте располагается городище округлой формы (60Х65 м), окруженное кольцевым валом (ширина до 5 м, высота до I,5 м) и рвом. Общая площадь 7 800 кв. м. Местное название «Городок». Обследовалось В. А. Казариновым в 1881 г., в 1962 г. Татарской археологической экспедицией, с 1968 г. почти ежегодно — Билярской экспедицией. В шурфе, заложенном в 1983 году, выявлен культурный слой до 1 м мощностью.",2,11,,1,50.322761,54.996992,269
Николаев-Баранское городище II,"Николаевский Баран, село. Расположено в 0,25 км к востоку от села, через речку Баран на вершине высокого мыса, образованного речкой Баран и М. Черемшан. Площадка городища. вытянутая с востока на запад (725Х Х500 м; общая площадь 362 500 кв. м) со всех сторон окружена валом и рвом, а с северной стороны — двумя рядами вала и тремя рядами рва. Проезды имеются со всех сторон, особенно усложненные в северном конце восточной стороны. Валы имеют высоту до 2 м, рвы соответственно глубину до 2 м. С восточной и южной сторон укрепления производят впечатление недостроенных. Центральная часть городища возвышается. Несмотря на длительную распашку на поверхности, подъемный материал чрезвычайно редок, он представлен мелкими фрагментами общебулгарской керамики. Возможно, что это так же как и Балынгузское городище, остатки крепости, которую пытались построить булгары в 1237—1240 гг.. Городище в 1881 г. было осмотрено В. А. Казариновым, а в 1967— 1983 гг. неоднократно посещалось Билярской экспедицией.",2,15,,1,50.315419,55.004331,270
Николаев-Баранское селище I,"Николаевский Баран, село. В 0,7—0,8 км к юго-востоку от села между Николаев-Баранским городищами I и II. Площадь 2 700 кв. м. Выявлено в 1962 г. ТАЭ Среди керамики есть салтовская горшечная.",2,11,,2,50.320822,54.998972,271
Николаев-Баранское селище II,"Николаевский Баран, село. В 1 км к юго-востоку от села на пологом мысу, опускающемся от Николаев-Баранского городища II к надлуговой террасе р. М. Черемшан, выявлено ТАЭ в 1962 г. селище площадью 39 200 кв. м. Неоднократно осматривалось БАЗ. В 1983 г. при шурфовке выявлен слой до 70 см, а в центральной части — мусульманское погребение. Среди керамики много салтовской горшечной.",2,11,,2,50.326453,54.996133,272
Николаев-Баранское селище III,"Николаевский Баран, село. В 0,8—1 км к югу от села на берегу реки Малый Черемшан ТАЭ в 1962 г. зафиксировано селище площадью 60 000 кв. м.",2,11,,2,50.30991,54.996468,273
Николаев-Бараснкий могильник,"Николаевский Баран, село. На западном мысу Николаев-Баранского селища I БАЭ в 1981 г. обнаружила, а в 1983 г. произвела раскопки мусульманского могильника, в засыпи ям которого обнаружен материал, связанный со слоем селища I.",2,14,,4,50.3195,54.999456,274
Николаевское местонахождение I,"Николаевка, посёлок. В 0,5 км к юго-востоку от посёлка ТАЭ в 1964 г. обнаружена булгарская керамика.",2,15,,3,50.561486,55.298961,275
Николаевское местонахождение II,"Николаевка, посёлок, левый берег р. М. Черемшан. В 1,2 км к юго-востоку от посёлка ТАЭ в 1964 г найдена булгарская керамика",2,15,,3,50.572042,55.296811,276
Николаевское местонахождение III,"Николаевка, деревня, левый берег речки Чебоксарка, левого притока реки М. Черемшан. В 1,8 км к юго-юго-востоку от деревни ТАЭ в 1964 г. найдена булгарская керамика.",2,11,,2,50.577258,55.295056,277
Николаевское местонахождение VI,"Николаевка, посёлок, левый берег речки Изгарка, правого притока р. М. Черемшан. У посёлка экспедицией ГМТР в 1962 г. обнаружена булгарская керамика.",2,11,,3,50.552456,55.301014,278
Николаевское селище I,"Николаевка, посёлок. У посёлка экспедицией ГМТР в 1962 г. обнаружено селище площадью 3150 кв. м.",2,11,,2,50.554975,55.301394,279
Николаевское селище II,"Николаевка, посёлок. В 0,8 км к юго-востоку от посёлка ТАЭ в 1964 г. выявлено селище площадью в 4000 кв. м.",2,11,,2,50.564803,55.297353,280
Новоаксубаевское городище,"Новое Аксубаево, село, правый берег речки Кисинка, левого притока р. М. Сульча. В 2,2 км к востоку-юго-востоку от села и в 1,3 км к северо-западу от маленького посёлка Фёдоровка на низком мысу, образованном двумя сухими оврагами, правыми притоками речки Кисинка, поднимающимися на 2—3 м. На соседнем мысу к северо-западу от городища находятся остатки колхозного сарая. Площадка правильных очертаний (площадь 10,4 тыс. кв. м). С напольной стороны и со стороны острия мыса городище ограждено невысокими валами и рвами. Слой имеет мощность около 40 см и содержит материалы булгарской культуры домонгольского времени. Местное название городища «Хир Хула» («Девичий городок»).",2,11,,1,50.941561,54.831406,281
Новоалпаровское местонахождение I,"Новое Алпарово, деревня. В 0,6—0,7 км к северо-востоку от деревни ТАЭ в 1964 г. обнаружены фрагменты булгарской керамики.",2,11,,3,50.169206,54.870086,282
Новоалпаровское местонахождение I,"Новое Алпарово, деревня. На месте поселения найдена булгарская керамика.",2,15,,3,50.1486,54.870074,283
Новоалпаровское селище I,"Новое Алпарово, деревня Алькеевского района, левый берег р. М. Черемшан. В 0,3 км к востоку от деревни ТАЭ в 1964 г. на восточном берегу пойменного озера выявлено поселение со срубной и булгарской керамикой, распространённой на площади 10 000 кв. м.",2,15,,2,50.167244,54.862614,284
Новоалпаровское селище II,"Новое Алпарово, деревня. В 0,4 км к востоку-юго-востоку от деревни на правом берегу суходола ТАЭ в 1964 году выявлено селище площадью в 10 000 кв. м.",2,11,,2,50.159861,54.858019,285
Новоальметьевские находки,"Новое Альметьево, село. В XIX в. в селе и его окрестностях находили различные золотые, серебряные, железные, медные вещи.",2,15,,3,50.371003,54.780225,286
Новоальметьевское городище,"Новое Альметьево, село. В северо-восточном конце села на мысу — между правым берегом р. Мараса и её притоком р. Гирей — находится городище с площадкой подчетырёхугольной формы (40000 кв. м), вытянутой с юга на север, с южной стороны защищённой двумя рядами валов (высота 0,8—0,9 м, ширина 25—30 м) и рвов. Площадка и часть валов, имеющих проездной разрыв по середине, застроена и занята огородами.",2,11,,1,50.384317,54.778083,287
Новоальметьевское местонахождение I,"Новое Альметьево, село. К северу от села ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.378047,54.788322,288
