name,addr,dat,x,y,status,id
Гремячкинская стоянка I,"Республика Татарстан, Рыбно-Слободский район, с. Гремячка, к юго-востоку от Троицко-_",II тыс. до н.э.,55.446541667,50.247211109,1,393
Гремячкинская стоянка II,"Республика Татарстан, Рыбно-Слободский район, с. Гремячка, к юго-востоку от Гремячкинского селища",II тыс. до н.э.,55.440541667,50.343086108,1,394
Гремячкинская стоянка III,"Республика Татарстан, Рыбно-Слободский район, с. Гремячка, к ЮВ",II тыс. до н.э.,55.444030556,50.355916665,1,395
Гремячкинский могильник,"Республика Татарстан, Рыбно-Слободский район, с. Гремячка, к юго-западу",III-V вв. н.э.,55.4366,50.33119722,1,396
Гремячкинское местонахождение I,"Республика Татарстан, Рыбно-Слободский район, с. Гремячка, к юго-юго-востоку",II тыс. до н.э.,55.443858333,50.352524997,1,397
Гремячкинское местонахождение II,"Республика Татарстан, Рыбно-Слободский район, с. Гремячка, к юго-востоку",II тыс. до н.э.,55.443858333,50.352524997,1,398
Гремячкинское селище,"Республика Татарстан, Рыбно-Слободский район, с. Гремячка, к юго-западу",X-XIII вв. н.э.,55.441272223,50.339480553,1,399
Гулюковская стоянка,"Республика Татарстан, Мензелинский район, с. Гулюково, 1 км к северо-востоку",VI-IV тыс. до н.э. ,55.808425001,52.925144441,1,400
Гулюковское селище,"Республика Татарстан, Мензелинский район, с. Гулюково, 1, 5 км к северу",III в. до н.э. - III в. н.э. ,55.814886112,52.909866665,1,401
Гулюковское селище II,"Республика Татарстан, Мензелинский район, с. Гулюково, 2, 5 км к юго-востоку",III в. до н.э. - III в. н.э. ,55.78603889,52.945572218,1,402
Гулюковское селище III,"Республика Татарстан, Мензелинский район, с. Гулюково, 2, 3 км к юго-востоку",VIII-III вв. до н.э. ,55.787775,52.941280553,1,403
Гулюковское селище IV,"Республика Татарстан, Мензелинский район, с. Гулюково, 1, 5 км к востоку",VIII-III вв. до н.э. ,55.788933334,52.944544441,1,404
Гурьевская стоянка,"Республика Татарстан, Алексеевский район, с. Гурьевка, 1, 8 км к юго-юго-западу",VI- VII вв. н.э. ,55.042080557,49.897624998,1,405
Гурьевское селище I,"Республика Татарстан, Алексеевский район, с. Гурьевка, 0, 5 км к западу-северо-западу",X-XIII вв. н.э. ,55.066225001,49.889044442,1,406
Гурьевское селище II,"Республика Татарстан, Алексеевский район, с. Гурьевка, 1 км к юго-юго-западу",X-XIII вв. н.э. ,55.055386111,49.876338887,1,407
Дальнеямашская соянка I,"Республика Татарстан, Альметьевский район, с. Дальние Ямаши, северо-восточная окраина",II тыс. до н.э. ,55.10878889,51.61653333,1,408
Дальнеямашская соянка II,"Республика Татарстан, Альметьевский район, с. Дальние Ямаши, 2 км к юго-востоку",II тыс. до н.э. ,55.103530557,51.635455553,1,409
Дальнеямашское селище,"Республика Татарстан, Альметьевский район, с. Дальние Ямаши, 1 км к северо-востоку",XIV-XVII вв. н.э. ,55.141705556,51.61387222,1,410
Дачное местонахождение,"Республика Татарстан, Высокогорский район, пос. Дачное, к западу",II тыс. до н.э. ,55.944808334,49.242988888,1,411
Девликеевское поселение I,"Республика Татарстан, Апастовский район, с. Девликеево, 0, 5 км к юго-западу",2-я пол. II тыс. до н.э. ,55.209069444,48.361624998,1,412
Дербеденевское местонахождение,"Республика Татарстан, Альметьевский район, д. Дербедень, 2, 5 км к юго-юго-западу",II тыс. до н.э. ,54.922808333,51.993641664,1,413
Дербешкинский могильник,"Республика Татарстан, Актанышский район, у подножия горы Керменчук, рядом с б. с. Татарский Азибей",II тыс. до н.э.; 1-ая пол. I тыс. н.э. ,55.835069445,53.504855554,1,414
Дербешкинское (Керменчук) городище,"Республика Татарстан, Актанышский район, р. п. Дербешкинский, 3 км к востоку",III в. до н.э. - III в. н.э. ,55.866469445,53.495624997,1,415
Дербешкинское селище,"Республика Татарстан, Актанышский район, р. п. Дербешкинский, 1, 5 км к югу",III-V вв. н.э. ,55.85019851,53.476218778,1,416
Дербешкинское селище II,"Республика Татарстан, Актанышский район, р. п. Дербешкинский, юго-восточная окраина",III в. до н.э. - III в. н.э. ,55.858005556,53.486402775,1,417
Дергачинская стоянка,"Республика Татарстан, Лаишевский район, д. Дергачи, к западу",XIII-IX вв. до н.э. ,55.591130556,49.025533332,1,418
Деуковская стоянка I,"Республика Татарстан, Мензелинский район, с. Деуково, 2, 25 км к востоку-северо-востоку",II тыс. до н.э. ,55.775608333,52.948836108,1,419
Деуковский могильник I,"Республика Татарстан, Мензелинский район, с. Деуково, 2, 25 км к северо-востоку",II тыс. до н.э. ,55.778697222,52.944974996,1,420
Деуковский могильник II,"Республика Татарстан, Мензелинский район, с. Деуково, 3 км к востоку северо-востоку",III в. до н.э. - III в. н.э. ,55.782172223,52.949436108,1,421
Деуковский могильник III,"Республика Татарстан, Мензелинский район, 0, 5 км к югу от Деуковского могильника II",III в. до н.э. - III в. н.э. ,55.77541389,52.943944441,1,422
Деуковское селище I,"Республика Татарстан, Мензелинский район, с. Деуково, 0, 8 км к северу",III в. до н.э. - III в. н.э. ,55.786075001,52.916291665,1,423
Деуковское селище II,"Республика Татарстан, Мензелинский район, с. Подгорные Байлары, 2, 5 км к северо-западу",III в. до н.э. - III в. н.э. ,55.791341668,52.888927775,1,424
Деуковское селище III,"Республика Татарстан, Мензелинский район, с. Деуково, 2, 5 км к северо-западу",III в. до н.э. - III в. н.э. ,55.766819445,52.95939444,1,425
Деуковское селище IV,"Республика Татарстан, Мензелинский район, с. Деуково, 2, 3 км к востоку",III в. до н.э. - III в. н.э. ,55.773580557,52.950811109,1,426
Деушевское поселение I,"Республика Татарстан, Апастовский район, с. Деушево, 0, 2 км к северо-востоку",II тыс. до н.э. ,55.182277778,48.360249998,1,427
Деушевское поселение II,"Республика Татарстан, Апастовский район, с. Деушево, на северной окраине",II тыс. до н.э. ,55.182863889,48.355358331,1,428
Деушевское поселение III,"Республика Татарстан, Апастовский район, с. Деушево, 0, 8 км к востоку от северо-восточной окраины",VI-IV тыс. до н.э. ,55.180658333,48.363083331,1,429
Деушевское поселение IV,"Республика Татарстан, Апастовский район, с. Деушево, 1, 2 км к северо-востоку от северо востоку окраины",VI-IV тыс. до н.э. ,55.188011111,48.371580553,1,430
Деушевское поселение IX,"Республика Татарстан, Апастовский район, с. Деушево, 0, 8 км к югу",VI-IV тыс. до н.э. ,55.157225,48.369777777,1,431
Деушевское поселение V,"Республика Татарстан, Апастовский район, с. Деушево, 0, 3 км к юго-востоку",VI-IV тыс. до н.э. ,55.161444445,48.373638887,1,432
Деушевское поселение VI,"Республика Татарстан, Апастовский район, с. Деушево, 0, 6 км к югу",VI-IV тыс. до н.э. ,55.1586,48.367374998,1,433
Деушевское поселение VII,"Республика Татарстан, Апастовский район, с. Деушево, 0, 7 км к северу",II тыс. до н.э. ,55.18855,48.356302775,1,434
Деушевское поселение VIII,"Республика Татарстан, Апастовский район, с. Деушево, 1, 5 км к северо-востоку",II тыс. до н.э. ,55.186930556,48.378874998,1,435
Деушевское селище I,"Республика Татарстан, Апастовский район, с. Деушево, северо-восточная часть",X-XIII вв. н.э. ,55.182422222,48.340938887,1,436
Деушевское селище II,"Республика Татарстан, Апастовский район, с. Деушево, 1, 8 км к северо-востоку от северо восточной окраины",X-XIV вв. н.э. ,55.199083334,48.377158331,1,437
Деушевскре кладбище,"Республика Татарстан, Апастовский район, с. Деушево, 0, 8 км к северо-северо-западу",X-XIV вв. н.э. ,55.187488889,48.357116665,1,438
Дмитреевская стоянка,"Республика Татарстан, Нижнекамский район, д. Дмитреевка, 1, 5-2 км к северо-востоку",VI-IV тыс. до н.э. ,55.685094444,51.779430553,1,439
Дмитреевское кладбище,"Республика Татарстан, Рыбно-Слободский район, с. Дмитреевское",XIII- XIV вв. н.э.,55.445461111,49.978558331,1,440
Дмитреевское селище,"Республика Татарстан, Рыбно-Слободский район, д. Дмитреевка, (западный конец с. Масловка)",X-XIV вв. н.э.,55.44438889,49.974266664,1,441
Дмитриевский курган,"Республика Татарстан, Бугульминский район, б. д. Дмитриевка, 1 км к ЮГО-ВОСТОКУ",1-ая пол. II тыс. н.э. ,54.693641667,52.761355553,1,442
Добромышская стоянка I,"Республика Татарстан, Альметьевский район, д. Добромыш, 0, 5 км к северо-западу",II тыс. до н.э. ,55.074013889,51.664055553,1,443
Добромышская стоянка II,"Республика Татарстан, Альметьевский район, д. Добромыш, 2 км к западу-юго-западу",II тыс. до н.э. ,55.069583334,51.693402776,1,444
Добромышская стоянка III,"Республика Татарстан, Альметьевский район, д. Добромыш, 2 км к северо-западу",II тыс. до н.э. ,55.081136111,51.657208331,1,445
Добромышская стоянка IV,"Республика Татарстан, Альметьевский район, д. Добромыш, 2, 2 км к северо-северо-западу",II тыс. до н.э. ,55.082519445,51.669433331,1,446
Дон-Урайское селище I,"Республика Татарстан, Рыбно-Слободский район, д. Дон-Урай, к югу",X-XIV вв. н.э.,55.476705556,50.243327775,1,447
Дон-Урайское селище II,"Республика Татарстан, Рыбно-Слободский район, д. Дон-Урай, к северо-востоку",X-XIV вв. н.э.,55.486430556,50.261458331,1,448
Дусай-Кичуйское селище,"Республика Татарстан, Мензелинский район, д. Дусай-Кичу, юго-восточная окраина",III в. до н.э. - III в. н.э. ,55.693066667,53.365116664,1,449
Дюсюмское местонахождение,"Республика Татарстан, Атнинский район, д. Дусюм, у деревни",XIII-XIV вв. н.э. ,56.300366668,49.451652775,1,450
Егоркинское поселение,"Республика Татарстан, Нурлатский район, с. Егоркино, 0, 5 км к северо-западу",3-я четв. II тыс. до н.э. ,54.505816667,50.68979722,1,451
Екатерининскослободское городище I,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, к востоку",X-XIII вв. н.э. ,55.013644444,51.090619441,1,452
Екатерининскослободское городище II,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, 4, 5 км к северо-северо-востоку",X-XIII вв. н.э. ,55.046716667,51.073699998,1,453
Екатерининскослободское селище I,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, 4, 3-4, 5 км к северо-северо-востоку",X-XIII вв. н.э. ,55.045702779,51.069622219,1,454
Екатерининскослободское селище II,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, 4, 2-4, 3 км к северо-северо-востоку",X-XIII вв. н.э. ,55.046094445,51.07803333,1,455
Екатерининскослободское селище III,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, 4, 5-5 км к северо-северо-востоку",X-XIII вв. н.э. ,55.050422223,51.072541665,1,456
Екатерининскослободское селище IV,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, 3, 5 км к востоку",X-XIII вв. н.э. ,55.016972223,51.086444441,1,457
Екатерининскослободское селище V,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, восточная окраина",X-XIII вв. н.э. ,55.0154,51.08455833,1,458
Екатерининскослободское селище VI,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, северная половина",X-XIII вв. н.э. ,55.015791667,51.06189722,1,459
Екатерининскослободское селище VII,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, к востоку",не определена,55.010772223,51.091252776,1,460
Екатериновское селище I,"Республика Татарстан, Новошешминский район, с. Слобода Екатерининская, 1 км к юго-востоку",X-XIII вв. н.э. ,55.008458333,51.093827776,1,461
Елабужская стоянка I,"Республика Татарстан, Елабужский район, г. Елабуга, от моста через реку слева от моста через реку слева от дороги в д. Ананьино. ",кон. II тыс. до н.э. -нач. I тыс. до н.э. ,55.730458092,52.098919557,1,462
Елабужская стоянка II,"Республика Татарстан, Елабужский район, г. Елабуга, от моста через реку слева от моста через реку слева от дороги в д. Ананьино. ",VI тыс. до н.э. - нач. I тыс. до н.э. ,55.742274183,52.045873214,1,463
Елантовское городище,"Республика Татарстан, Нижнекамский район, с. Елантово, 2, 8-2, 9 км к югу",X-XIII вв. н.э. ,55.258555556,51.199280553,1,464
Елховский вал,"Республика Татарстан, Новошешминский район, д. Елхово, к югу и юго-западу",XVII-XVIII вв. н.э. ,55.097019445,51.177386108,1,465
Елховский могильник,"Республика Татарстан, Альметьевский район, с. Елхово, 1, 3 км к югу",не определена,54.874038889,51.627794442,1,466
Елховское ('Сюкеевское') селище,"Республика Татарстан, Камско-Устьинский район, с. Сюкеево, 4, 3 км к юго-западу",VI-VII вв. до н.э. ,55.063691667,49.00046111,1,467
Елховское (Старо-Багряжское) местонахождение,"Республика Татарстан, Альметьевский район, с. Ст. Багряж, 0, 5 км к югу",X-XIV вв. н.э. ,54.879575,51.621113886,1,468
Елховское городище,"Республика Татарстан, Новошешминский район, д. Елхово, 1, 8 км юго-западу",X-XIII вв. н.э. ,55.090172223,51.21059722,1,469
Елховское надгробие,"Республика Татарстан, Новошешминский район, д. Елхово, 3 км юго-востоку",не определена,55.091044445,51.231019441,1,470
Елховское селище I,"Республика Татарстан, Новошешминский район, д. Елхово, 2, 2 км юго-западу",X-XIII вв. н.э. ,55.089225,51.208627776,1,471
Елховское селище II,"Республика Татарстан, Новошешминский район, д. Елхово, напротив",X-XIII вв. н.э. ,55.100227779,51.178072219,1,472
Елховское селище III,"Республика Татарстан, Новошешминский район, д. Елхово, в западной части",X-XIII вв. н.э. ,55.098163889,51.179874998,1,473
Елховское селище IV,"Республика Татарстан, Новошешминский район, д. Елхово, 0, 3 км юго-западу",X-XIII вв. н.э. ,55.097380556,51.178930554,1,474
Емельнинское селище I,"Республика Татарстан, Аксубаевский район, с. Емелькино, 2, 3 км к юго-юго-востоку",X-XIII вв. н.э. ,54.942961111,50.573063886,1,475
Емельнинское селище II,"Республика Татарстан, Аксубаевский район, 0, 3 км к западу от селища I",X-XIII вв. н.э. ,54.946025001,50.561819441,1,476
Емельнинское селище III,"Республика Татарстан, Аксубаевский район, с. Емелькино, 1, 5 км к северо-западу",X-XIII вв. н.э. ,54.982325,50.543511109,1,477
Емельнинское селище IV,"Республика Татарстан, Аксубаевский район, с. Емелькино, 0, 3 км к северо-востоку",X-XIII вв. н.э. ,54.973641667,50.569347219,1,478
Емельнинское селище V,"Республика Татарстан, Аксубаевский район, с. Емелькино, северо-восточная окраина",X-XIII вв. н.э. ,54.970061111,50.568061108,1,479
Ерепкинский курган I,"Республика Татарстан, Нурлатский район, д. Ерыпкино 1, 5 км к северу от северо-восточног конца",не определена,54.464536111,50.679027775,1,480
Ерепкинский курган II,"Республика Татарстан, Нурлатский район, д. Ерыпкино 1, 5 км к северу от северо-восточного конца",не определена,54.414175001,50.665011108,1,481
Ерыликинское поселение,"Республика Татарстан, Алексеевский район, с. Ерыклы, 0, 5 км к северо-северо-западу",VI-VII вв. н.э. ,54.960958333,50.214719442,1,482
Еряпкинский курган,"Республика Татарстан, Алькеевский район, д. Еряпкино, 1, 5 км к северу",не определена,54.769683334,49.890874998,1,483
Еряпкинское селище I,"Республика Татарстан, Алькеевский район, д. Еряпкино, 0, 7-0, 8 км к северо-западу",не определена,54.759383334,49.879202775,1,484
Еряпкинское селище II,"Республика Татарстан, Алькеевский район, д. Еряпкино, 0, 5 км к юго-востоку",X-XIII вв. н.э. ,54.752102779,49.896024997,1,485
Еряпкинское селище III,"Республика Татарстан, Алькеевский район, д. Еряпкино, 0, 5 км к югу",X-XIII вв. н.э. ,54.751458333,49.888816665,1,486
Займищенская стоянка I,"Республика Татарстан, г. Казань, пос. Займище, 0, 6-0, 7 км к юго-востоку, на дюне Левого бер. р. Волги",2-я пол. I тыс. до н.э. ,55.815133334,48.874272221,1,487
Займищенская стоянка III,"Республика Татарстан, г. Казань, пос. Займище, 0, 25-0, 3 км к юго-востоку от восточного конца пос., на дюнах поймы левого бер. р. Волги",II тыс. до н.э. ,55.813733333,48.877833331,1,488
Займищенская стоянка IIIA,"Республика Татарстан, г. Казань, пос. Займище, 0, 1-0, 15 км к востоку-юго-востоку, на краю надлуговой террасы лев. бер. р. Волги",III-II тыс. до н.э. ,55.813733333,48.877833331,1,489
Займищенская стоянка IV,"Республика Татарстан, г. Казань, пос. Займище, 0, 3 км к северо-западу, на узком мысу надлуговой террасы лев. бер. р. ",кон. II - нач. I тыс. до н.э. ,55.814541668,48.880919442,1,490
Займищенская стоянка lI,"Республика Татарстан, г. Казань, пос. Займище, 0, 34-0, 4 км от пос., на дюнном всхолмлении поймы",2-я пол. II тыс. до н.э. ,55.81636389,48.879463886,1,491
Зайчишминская стоянка,"Республика Татарстан, Альметьевский район, с. Зай Чишма, 1, 8 км к северо-западу",II тыс. до н.э. ,55.07286389,52.111755554,1,492
Зайчишминское селище,"Республика Татарстан, Альметьевский район, с. Зай Чишма, 0, 3 км к севеоо-севеоо-западу",VI-VII вв. н.э. ,55.071572222,52.122994441,1,493
Зайчишминское селище II,"Республика Татарстан, Альметьевский район, с. Зай Чишма, 1, 4 км к юго-юго-востоку",VI-VII вв. н.э. ,55.053202778,52.14574444,1,494
Зайчишминское селище III,"Республика Татарстан, Альметьевский район, с. Зай Чишма, 3 км к югу",VI-VII вв. н.э. ,55.042272223,52.146041664,1,495
Заовражно-Каратаевская стоянка I,"Республика Татарстан, Камско-Устьинский район, с. Заовражный Каратай, 2 км к юго-юго-западу",II тыс. до н.э. ,55.162236112,49.234219442,1,496
Заовражно-Каратаевская стоянка II,"Республика Татарстан, Камско-Устьинский район, с. Заовражный Каратай, 0, 5 км к юго-востоку",VI-II тыс. до н.э. ,55.161797222,49.265911109,1,497
Зеленодольская стоянка,"Республика Татарстан, Зеленодольский район, г. Зеленодольск, северо-восточная окраина",IV-II тыс. до н.э. ,55.854852778,48.478402776,1,498
Зильгильденское местонахождение,"Республика Татарстан, Атнинский район, д. Зильгиде, к северо-востоку",III-V вв. н.э. ,56.288125001,49.433744443,1,499
Золотая Падь стоянка I,"Республика Татарстан, Мензелинский район, б. с. Игим, 6, 8 км к западу",VI-IV тыс. до н.э. ,55.788233334,53.196941665,1,500
Золотая Падь стоянка II,"Республика Татарстан, Мензелинский район, б. с. Игим, 7 км к западу",VI-II тыс. до н.э.; VIII-III вв. до н.э.; III вв. до н.э. - III вв. н.э.; V-IX вв. н.э. ,55.781091668,53.188702776,1,501
Золотая Падь стоянка III,"Республика Татарстан, Мензелинский район, 0, 3 км к западу от стоянки ""Золотая Падь"" II",VI-IV тыс. до н.э. ,55.782441668,53.182180552,1,502
Ивановская стоянка I,"Республика Татарстан, Алексеевский район, пос. Ивановский, 1, 5-2 км к северо-западу",X-XIII вв. н.э. ,55.263022222,49.874827775,1,503
Ивановская стоянка II,"Республика Татарстан, Алексеевский район, пос. Ивановский, 2 км к северо-западу",VI-II тыс. до н.э. ,55.258913889,49.878516665,1,504
Ивановская стоянка III,"Республика Татарстан, Алексеевский район, пос. Ивановский, 2, 1 км к северо-западу",VI-V тыс. до н.э. ,55.259941667,49.877316665,1,505
Ивановская стоянка IV,"Республика Татарстан, Алексеевский район, пос. Ивановский, 2, 5 км к северо-северо-западу",VI-V тыс. до н.э. ,55.264980557,49.881091664,1,506
Ивановская стоянка IX,"Республика Татарстан, Алексеевский район, пос. Ивановский, 3, 5-3, 8 км к северо-востоку",XVI-XV вв. до н.э. ,55.27515,49.877916665,1,507
Ивановская стоянка la,"Республика Татарстан, Алексеевский район, Пос. Ивановский, 1, 5 км к западу-северо-западу",VI-V тыс. до н.э. ,55.253583334,49.882294442,1,508
Ивановская стоянка V,"Республика Татарстан, Алексеевский район, пос. Ивановский, 2, 8 км к северо-северо-западу",XVI-XV вв. до н.э. ,55.26786389,49.879374997,1,509
Ивановская стоянка VI,"Республика Татарстан, Алексеевский район, Пос. Ивановский, 3 км к северу",VI-V тыс. до н.э. ,55.270113889,49.87903333,1,510
Ивановская стоянка VII,"Республика Татарстан, Алексеевский район, пос. Ивановский, 3, 3 км к северо-северо-востоку",VI-V тыс. до н.э. ,55.271875,49.878516665,1,511
Ивановская стоянка VIII,"Республика Татарстан, Алексеевский район, пос. Ивановский, 3, 45 км к северу",VI-V тыс. до н.э. ,55.273536111,49.879033331,1,512
Ивановское (буденовское) поселение I,"Республика Татарстан, Апастовский район, д. Малалла, 1, 5 км к востоку",VI-IV тыс. до н.э.; II тыс. до н.э. ,55.439305556,48.566469442,1,513
Ивановское (буденовское) поселение II,"Республика Татарстан, Апастовский район, д. Малалла, 1, 7 км к востоку-юго-востоку",VI-IV тыс. до н.э.; II тыс. до н.э. ,55.426669445,48.558358331,1,514
Ивановское селище,"Республика Татарстан, Алексеевский район, пос. Ивановский, 2, 5 км к юго-западу",VI-V тыс. до н.э. ,55.240177778,49.873194442,1,515
Ивашевские курганы,"Республика Татарстан, Буинский район, д. Ивашевка, 3, 5 км к северо-северо-западу; с. Адав-Тулумбаево, 0, 6 км от села",не определена,54.932505556,48.299244443,1,516
Ивашевское поселение,"Республика Татарстан, Буинский район, д. Ивашевка, 0, 4 км к северу",II тыс. до н.э. ,54.921777779,48.328297221,1,517
Ивашевское селище I,"Республика Татарстан, Буинский район, д. Ивашевка, 0, 5 км к северо-западу",X-XIII вв. н.э. ,54.921580556,48.34602222,1,518
Ивашевское селище II,"Республика Татарстан, Буинский район, д. Ивашевка, севрная окраина",X-XIII вв. н.э. ,54.920072223,48.346149997,1,519
Игимская стоянка I,"Республика Татарстан, Мензелинский район, б. с. Игим, 0, 3 км к северу",VI-II тыс. до н.э.; III вв. до н.э. - III вв. н.э. ,55.78225,53.302341664,1,520
Игимская стоянка II,"Республика Татарстан, Мензелинский район, б. с. Игим, юго-западная часть",II тыс. до н.э. ,55.761008334,53.291699997,1,521
Игимский могильник,"Республика Татарстан, Мензелинский район, б. с. Игим, 0, 3 км к северу",IX-X вв. н.э. ,55.788427778,53.302513885,1,522
Игимское селище I,"Республика Татарстан, Мензелинский район, б. с. Игим, 2 км к юго-востоку",XIII-XIV вв. н.э. ,55.762358333,53.326030553,1,523
Игимское селище II,"Республика Татарстан, Мензелинский район, б. с. Игим, 2, 5 км к юго-юго-западу от южного конца",III-V вв. н.э. ,55.747483334,53.28551944,1,524
Игимское селище III,"Республика Татарстан, Мензелинский район, 0, 2 км к юго-востоку от Игимского селища II",III-V вв. н.э. ,55.745744445,53.287922219,1,525
Игимское селище IV,"Республика Татарстан, Мензелинский район, б. с. Игим, 1, 2 км к юго-юго-востоку от юго-восточной окраины",III в. до н.э. - III в. н.э. ,55.767477778,53.32534444,1,526
Игимское селище V,"Республика Татарстан, Мензелинский район, б. с. Игим, 1, 5 км к югу",III-V вв. н.э. ,55.745358334,53.302169441,1,527
Игимское селище VI,"Республика Татарстан, Мензелинский район, б. с. Игим, 2, 8 км к югу",III в. до н.э. - III в. н.э. ,55.736466668,53.303027775,1,528
Илларионовская стоянка,"Республика Татарстан, Мензелинский район, б. д. Илларионовка, 1 км к северу",II тыс. до н.э. ,55.586716668,53.368236108,1,529
Илларионовское селище,"Республика Татарстан, Мензелинский район, б. д. Илларионовка, 1, 5 км к северо-северо-востоку",III в. до н.э. - III в. н.э. ,55.587830557,53.390294441,1,530
Ильинское селище,"Республика Татарстан, Нижнекамский район, д. Ильинка, 1, 5 км к востоку",XV-XVI вв. н.э. ,55.64361507,51.745148043,1,531
Ильтеньбутинская стоянка,"Республика Татарстан, Альметьевский район, д. Ильтень Бута, 2, 8 км к северо-западу",II тыс. до н.э. ,54.962497223,51.879924997,1,532
Ильчебаевское городище,"Республика Татарстан, Актанышский район, д. Ильчебаево, северо-западная окраина",III в. до н.э. - V вв. н.э.; ХIII-XIV вв. н.э. ,55.748900001,53.961216664,1,533
Иляшкинское городище,"Республика Татарстан, Аксубаевский район, д. Иляшкино, 0, 2 км к югу",X-XIII вв. н.э. ,54.93046389,50.914424997,1,534
Иманлейские стоянка и могильник,"Республика Татарстан, Мензелинский район, б. д. Иманле, 0, 5 км к востоку",III в. до н.э. - III в. н.э.; VI-IX вв. н.э. ,55.489663889,53.196424997,1,535
Иманлейское селище I,"Республика Татарстан, Мензелинский район, б. д. Иманле, 0, 35 км к западу",III в. до н.э. - III в. н.э. ,55.491316668,53.19410833,1,536
Иманлейское селище II,"Республика Татарстан, Мензелинский район, б. д. Иманле, 0, 25 км к западу",III в. до н.э. - III в. н.э. ,55.491366668,53.209255553,1,537
Именьковская стоянка I,"Республика Татарстан, Лаишевский район, с Именьково, 2 км к юго-востоку",XIII-IX вв. до н.э. ,55.414394445,49.739519442,1,538
Именьковская стоянка II,"Республика Татарстан, Лаишевский район, с. Именьково, 0, 7 км к юго-востоку",XIII-IX вв. до н.э. ,55.413369444,49.736944442,1,539
Именьковская стоянка III,"Республика Татарстан, Лаишевский район, с. Именьково, 0, 4 км к юго-востоку",XIII-IX вв. до н.э. ,55.413711111,49.734369441,1,540
Именьковская стоянка IV,"Республика Татарстан, Лаишевский район, с. Именьково, 0, 2 км к юго-востоку",XIII-IX вв. до н.э. ,55.410872223,49.744044442,1,541
Именьковская стоянка V,"Республика Татарстан, Лаишевский район, с. Именьково, 1 км к юго-востоку",XIII-IX вв. до н.э. ,55.415525,49.736536109,1,542
Именьковская стоянка VI,"Республика Татарстан, Лаишевский район, с. Именьково, 2, 1 км к юго-востоку",XIII-IX вв. до н.э. ,55.412333333,49.737049998,1,543
Именьковский могильник II,"Республика Татарстан, Лаишевский район, в с. Именьково",I в. до н.э. - V в. до н.э. ,55.426019444,49.714644442,1,544
Именьковское местонахождение I,"Республика Татарстан, Лаишевский район, с Именьково, 1, 7 км к западу",VI-VII вв. н.э. ,55.427561112,49.705241664,1,545
Именьковское селище I,"Республика Татарстан, Лаишевский район, с. Именьково, 1, 7-1, 85 км к северо-западу",VI-VII вв. н.э. ,55.434777779,49.698463887,1,546
Именьковское селище II,"Республика Татарстан, Лаишевский район, с. Именьково, западная окраина",X-XIV вв. н.э. ,55.425530556,49.715955553,1,547
Имянлебашское селище I,"Республика Татарстан, Заинский район, с. Имянлебаш, 0, 7 км к северо-западу",VI-VII вв. н.э. ,55.358955557,51.836291663,1,548
Имянлебашское селище II,"Республика Татарстан, Заинский район, с. Имянлебаш, 0, 15 км к юго-западу",X-XIII вв. н.э. ,55.340372223,51.812341665,1,549
Ирбинские надгробные камни,"Республика Татарстан, Высокогорский район, д. Ибря, юго-восточная окраина",XV-XVI вв. н.э. ,56.030575001,49.205711108,1,550
Ирмяшевское городище,"Республика Татарстан, Актанышский район, д. Ирмяшево, юго-западная окраина",VIII вв. до н.э. - III в. н.э. ,55.732272222,54.047499996,1,551
Ирмяшевское селище I,"Республика Татарстан, Актанышский район, д. Ирмяшево, южная окраина",III в. до н.э. - V в. н.э. ,55.732352779,54.049088887,1,552
Ирмяшевское селище II,"Республика Татарстан, Актанышский район, д. Ирмяшево, 0, 35 км к юго-западу",III в. до н.э. - III в. н.э. ,55.733516668,54.041022219,1,553
Исаковская стоянка I,"Республика Татарстан, Зеленодольский район, с. Исаково, 2, 7 км от села",2-я пол. II тыс. до н.э. ,55.729088889,48.598241666,1,554
Исаковская стоянка II,"Республика Татарстан, Зеленодольский район, 0, 3-0, 35 км к северо-востоку от Исаковской",VI-IV тыс. до н.э.; II тыс. до н.э.,55.730977778,48.601888887,1,555
Исаковская стоянка III,"Республика Татарстан, Зеленодольский район, с. Исаково, 2 км к северо-северо-востоку",2-я пол. II тыс. до н.э. ,55.736233334,48.585066665,1,556
Исаковская стоянка IV,"Республика Татарстан, Зеленодольский район, с. Исаково, 1, 5 км к северо-северо-востоку",VI-IV тыс. до н.э.; II тыс. до н.э.,55.733327779,48.569702777,1,557
Исаковское селище,"Республика Татарстан, Зеленодольский район, 0, 3-0, 35 км к северо-востоку от Исаковской стоянки I",XIII-XIV вв. н.э. ,55.731244444,48.602147221,1,558
Исангуловское селище,"Республика Татарстан, Мензелинский район, д. Исангулово, 0, 4 км к северу от северо-",1-ая пол. II тыс. до н.э. ,55.593469445,52.83635833,1,559
